CH/C=O,CH/C-O-C,C=O/C-O-C,OMcat/C-O-C,SOC stock,SOC,pH,Clay,Silt,Sand,Skeleton,Elevation,Altitude difference,Downslope Distance Gradient,Slope,SAGA Wetness Index,Terrain Ruggedness Index,Flow accumulation,Stream Power Index,VDCN,CNBL,Profile curvature,Tangential curvature,General curvature,Total curvature,Aspect,Area,Length,Width,Coniferous forests,Beech forests,"Oak, hornbeam and chestnuts forests",Riparian vegetation,Cultivated fields,Anthropic areas,Bare surfaces / rocky outcrops,Sparce vegetation / in evolution,Meadows,Bushes and shrubs,Silicified Calcilutites and Silty Clays,Varicoloured Clays and Shales,Carbonate Turbidites,Ophiolitic/Sedimentary Breccias and Olistolites,Arenaceous-Pelitic Turbidites,,,,,,
0.027,0.006,0.208,0.550,74.558,1.788,7.763,29.383,44.653,25.963,24.911,724.305,164.600,159.455,9.977,8.639,0.232,1573996.000,756.627,147.616,577.116,-0.000134,-0.001618,-0.003587,0.000030,159.406,431125,3262,1468,0.002,0.001,0.173,0.040,0.689,0.022,0.000,0.000,0.000,0.074,0.000,0.411,0.215,0.000,0.375,,,,,,
0.029,0.004,0.139,0.206,78.279,2.018,7.427,28.989,43.862,27.149,23.856,846.182,293.451,140.234,12.259,7.793,0.289,10977707.000,615.808,98.178,746.457,-0.000274,-0.001047,-0.002813,0.000043,112.343,3417375,4964,3085,0.000,0.265,0.232,0.028,0.303,0.073,0.000,0.008,0.041,0.051,0.028,0.097,0.387,0.000,0.488,,,,,,
0.011,0.002,0.165,0.201,77.264,2.001,7.455,29.277,43.822,26.901,24.087,828.048,289.505,356.239,12.120,7.944,0.286,18451748.000,719.776,97.442,730.968,-0.000261,-0.001130,-0.002971,0.000042,117.671,3823450,4762,4654,0.000,0.236,0.246,0.025,0.308,0.067,0.000,0.026,0.037,0.053,0.025,0.091,0.447,0.000,0.437,,,,,,
0.013,0.002,0.148,0.195,76.892,1.976,7.487,29.305,43.835,26.860,23.974,812.978,280.410,269.493,11.972,7.980,0.282,14825033.000,690.941,102.184,710.971,-0.000246,-0.001118,-0.002904,0.000040,121.180,4264275,5195,4343,0.000,0.212,0.231,0.023,0.359,0.065,0.000,0.023,0.033,0.053,0.022,0.081,0.470,0.000,0.426,,,,,,
0.013,0.002,0.175,0.219,77.276,2.001,7.456,29.286,43.822,26.892,24.092,826.869,292.635,323.687,12.102,7.946,0.286,5914340.500,727.837,97.095,730.119,-0.000260,-0.001124,-0.002958,0.000042,118.085,3839800,4989,4454,0.000,0.235,0.247,0.025,0.308,0.067,0.000,0.026,0.037,0.053,0.025,0.091,0.449,0.000,0.435,,,,,,
0.056,0.016,0.276,0.888,76.607,1.989,7.479,28.310,43.086,28.604,22.678,705.016,361.381,677.321,12.485,7.842,0.295,71601616.000,874.512,109.032,595.785,-0.000272,-0.001037,-0.002794,0.000038,154.635,17158425,10557,8253,0.012,0.102,0.367,0.014,0.308,0.060,0.003,0.025,0.045,0.064,0.243,0.045,0.536,0.035,0.140,,,,,,
0.033,0.007,0.208,0.480,76.416,1.947,7.553,29.475,43.893,26.631,24.832,740.766,301.446,146.088,12.021,7.945,0.282,25763094.000,723.568,102.283,638.485,-0.000232,-0.001095,-0.002823,0.000036,129.528,6205625,6882,4390,0.005,0.146,0.284,0.021,0.384,0.053,0.001,0.019,0.025,0.062,0.022,0.059,0.604,0.000,0.314,,,,,,
0.052,0.016,0.312,1.286,76.603,1.989,7.479,28.319,43.087,28.594,22.655,704.171,360.537,670.323,12.493,7.838,0.295,71838832.000,872.229,108.885,595.090,-0.000271,-0.001035,-0.002790,0.000038,154.769,17206325,10557,8253,0.012,0.102,0.367,0.014,0.309,0.060,0.003,0.025,0.045,0.064,0.243,0.045,0.537,0.035,0.140,,,,,,
0.051,0.019,0.369,2.070,76.607,1.989,7.479,28.310,43.086,28.604,22.679,705.019,361.383,684.320,12.485,7.842,0.295,71423672.000,874.536,109.035,595.792,-0.000272,-0.001037,-0.002794,0.000038,154.639,17158100,10557,8253,0.012,0.102,0.367,0.014,0.308,0.060,0.003,0.025,0.045,0.064,0.243,0.045,0.536,0.035,0.140,,,,,,
0.017,0.004,0.241,0.385,76.794,1.960,7.527,29.357,43.894,26.750,24.504,772.097,299.953,366.615,12.070,7.978,0.284,14098439.000,695.929,105.569,666.655,-0.000230,-0.001100,-0.002900,0.000038,128.664,5339775,6540,4343,0.006,0.170,0.260,0.022,0.374,0.055,0.001,0.020,0.028,0.063,0.021,0.068,0.545,0.000,0.365,,,,,,
