CH/C=O,CH/C-O-C,C=O/C-O-C,OMcat/C-O-C,SOC stock,SOC,pH,Clay,Silt,Sand,Skeleton,Elevation,Altitude difference,Downslope Distance Gradient,Slope,SAGA Wetness Index,Terrain Ruggedness Index,Flow accumulation,Stream Power Index,VDCN,CNBL,Profile curvature,Tangential curvature,General curvature,Total curvature,Aspect,Area,Length,Width,Coniferous forests,Beech forests,"Oak, hornbeam and chestnuts forests",Riparian vegetation,Cultivated fields,Anthropic areas,Bare surfaces / rocky outcrops,Sparce vegetation / in evolution,Meadows,Bushes and shrubs,Silicified Calcilutites and Silty Clays,Clays and Shales,Carbonate Turbidites,Ophiolitic/Sedimentary Breccias and Olistolites,Arenaceous-Pelitic Turbidites
0.029,0.004,0.139,0.206,81.475,2.104,7.294,27.704,43.706,28.590,22.264,929.652,376.921,140.234,15.139,6.568,0.364,10977707.000,327.956,189.782,739.821,-0.000066,0.000035,-0.000078,0.000051,128.460,13212550,5415,3455,0.004,0.367,0.272,0.012,0.217,0.036,0.008,0.010,0.020,0.053,0.070,0.216,0.299,0.028,0.387
0.011,0.002,0.165,0.201,79.928,2.073,7.371,28.543,43.536,27.920,23.750,892.175,353.632,356.239,14.796,6.617,0.354,18451748.000,300.276,173.558,718.588,-0.000058,0.000038,-0.000056,0.000048,139.463,18210875,5303,4777,0.003,0.294,0.344,0.010,0.220,0.037,0.009,0.020,0.016,0.048,0.063,0.170,0.446,0.029,0.291
0.013,0.002,0.148,0.195,79.423,2.050,7.400,28.604,43.589,27.807,23.778,880.729,348.161,269.493,14.590,6.636,0.349,14825033.000,293.930,175.911,704.799,-0.000057,0.000038,-0.000052,0.000046,140.695,19695950,5667,4613,0.003,0.272,0.334,0.009,0.254,0.039,0.008,0.019,0.016,0.046,0.058,0.157,0.474,0.027,0.283
0.013,0.002,0.175,0.219,79.928,2.073,7.372,28.547,43.537,27.916,23.752,891.723,357.489,323.687,14.785,6.620,0.354,5914340.500,303.136,173.344,718.333,-0.000058,0.000038,-0.000055,0.000048,139.542,18235700,5303,4777,0.003,0.294,0.344,0.010,0.220,0.037,0.009,0.020,0.016,0.048,0.063,0.170,0.447,0.029,0.291
0.056,0.016,0.276,0.888,79.820,2.085,7.267,28.250,42.810,28.939,20.793,801.265,457.629,677.321,14.916,6.647,0.357,71601616.000,479.692,199.183,602.082,-0.000066,0.000048,-0.000048,0.000042,162.498,71373700,10782,9322,0.024,0.191,0.454,0.008,0.184,0.041,0.005,0.013,0.034,0.045,0.223,0.058,0.516,0.072,0.132
0.033,0.007,0.208,0.480,78.498,2.015,7.465,28.927,43.719,27.354,24.671,830.310,390.990,146.088,14.457,6.638,0.345,25763094.000,393.183,177.824,652.498,-0.000058,0.000041,-0.000049,0.000045,143.383,25867400,7385,4608,0.022,0.209,0.371,0.010,0.267,0.037,0.006,0.015,0.015,0.047,0.054,0.123,0.567,0.022,0.233
0.052,0.016,0.312,1.286,79.816,2.084,7.267,28.253,42.811,28.936,20.788,800.897,457.263,670.323,14.917,6.647,0.357,71838832.000,479.300,199.057,601.845,-0.000066,0.000048,-0.000049,0.000042,162.559,71440725,10782,9322,0.024,0.191,0.454,0.008,0.184,0.041,0.005,0.012,0.034,0.045,0.222,0.058,0.517,0.072,0.132
0.051,0.019,0.369,2.070,79.821,2.085,7.267,28.250,42.810,28.939,20.793,801.271,457.635,684.320,14.917,6.647,0.357,71423672.000,479.698,199.185,602.085,-0.000066,0.000048,-0.000048,0.000042,162.499,71372900,10782,9322,0.024,0.191,0.454,0.008,0.184,0.041,0.005,0.013,0.034,0.045,0.223,0.058,0.516,0.072,0.132
0.017,0.004,0.241,0.385,78.914,2.030,7.445,28.806,43.720,27.474,24.390,851.798,379.654,366.615,14.547,6.627,0.347,14098439.000,345.210,183.493,668.264,-0.000051,0.000030,-0.000053,0.000045,144.687,23728800,7054,4585,0.024,0.228,0.356,0.009,0.261,0.036,0.007,0.016,0.016,0.047,0.055,0.134,0.532,0.024,0.254
0.048,0.016,0.345,0.846,77.228,1.952,7.640,29.942,44.707,25.352,27.668,784.070,259.417,81.641,14.780,6.342,0.350,935193.625,167.729,299.931,484.115,0.000002,-0.000041,-0.000090,0.000045,167.612,2466750,2571,1606,0.204,0.020,0.486,0.005,0.211,0.005,0.002,0.006,0.025,0.037,0.064,0.017,0.793,0.014,0.113
